De Aziatische kampioenschappen schaatsen 2004 werden op 3 en 4 januari 2004 op de buitenijsbaan
Nectopanope is een geslacht van kreeftachtigen uit de klasse van de Malacostraca (hogere kreeftachtigen)....
Missour is een stad in Marokko en is de hoofdplaats van de provincie Boulmane. In
Het Brouws Museum is een historisch maritiem museum in Brouwershaven, gemeente Schouwen-Duiveland in de Nederlandse
Dasychira astraphaea is een vlinder uit de familie familie spinneruilen (Erebidae), onderfamilie donsvlinders (Lymantriinae). De
Prof. Doc. Herman is een humoristisch kinderprogramma dat op Ketnet uitgezonden werd rond 2000 waarin
Nephrotoma guestfalica is een tweevleugelige uit de familie langpootmuggen (Tipulidae). De soort komt voor in
Ungabuurt (Fries: Ungaboer) is een buurtschap in de gemeente Harlingen, in de Nederlandse provincie Friesland.
Tricellaria peachii is een mosdiertjessoort uit de familie van de Candidae. De wetenschappelijke naam van
Marginella susanae is een slakkensoort uit de familie van de Marginellidae. De wetenschappelijke naam van
Procryptocerus scabriusculus is een mierensoort uit de onderfamilie van de Myrmicinae. De wetenschappelijke naam van
Cryptopimpla buareoleta is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Hyposcada olerioides is een vlinder uit de familie Nymphalidae. De wetenschappelijke naam van de soort
Granön was een Zweeds eiland behorend tot de Lule-archipel. Het eiland is inmiddels vastgegroeid aan
De opstand van de ciompi (wolkammers) was een opstand van textielarbeiders in Florence in 1378
Chelonus milkoi is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Aulonogyrus sharpi is een keversoort uit de familie van schrijvertjes (Gyrinidae). De wetenschappelijke naam van
Atanas Talevski (Macedonisch: Атанас Талевски) (Veles, 17 december 1954 - Skopje, 27 juni 2008) was
Metazygia uratron is een spinnensoort in de taxonomische indeling van de wielwebspinnen (Araneidae).Het dier behoort
Nococryptus angustus is een pissebed uit de familie Cryptoniscoidea incertae sedis. De wetenschappelijke naam van
Theristus biarcospiculum is een rondwormensoort uit de familie van de Xyalidae. De wetenschappelijke naam van
Jozef (Hebreeuws: יוֹסֵף, Yosef; Grieks: Ἰωσήφ) (bijgenaamd de Timmerman) geldt in het christelijk geloof als
Greed is een Amerikaanse dramafilm uit 1924 onder regie van Erich von Stroheim. De film
Sisillius II (Welsh: Saessyllt II) was volgens de legende, zoals beschreven door Geoffrey of Monmouth,
Tropocalymma is een kevergeslacht uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam van
Last Resort kan verwijzen naar: MediaThe Last Resort, een lied van de Amerikaanse muziekgroep The
NiXenMeerR (voorheen: NiX BBBlues Club, NiX Podium) is van oorsprong een blues- en poppodium in
Star Wars: Clone Wars is een met een Emmy Award en Annie Award bekroonde Amerikaanse
Aglossa maceralis is een vlinder uit de familie van de snuitmotten (Pyralidae). De wetenschappelijke naam
Inheems, ook wel oorspronkelijk inheems, is een biogeografische statusaanduiding en betekent dat een taxon (meestal
Zr.Ms. Zeeleeuw kan verwijzen naar: Hr.Ms. Zeeleeuw (1944) - duikboot Zr.Ms. Zeeleeuw (1990) - duikboot...
Leucanopsis dinellii is een beervlinder uit de familie van de spinneruilen (Erebidae). De wetenschappelijke naam
Hammarby by is een plaats in de gemeente Uppsala in het landschap Uppland en de
Macrodiplosis putrida is een muggensoort uit de familie van de galmuggen (Cecidomyiidae). De wetenschappelijke naam
Leocyma congoensis is een vlinder uit de familie visstaartjes (Nolidae). De wetenschappelijke naam van deze
Botwood is een gemeente (town) in de Canadese provincie Newfoundland en Labrador. De gemeente ligt
Geranomyia recondita is een tweevleugelige uit de familie steltmuggen (Limoniidae). De soort komt voor in
Villeneuve-lès-Avignon is een gemeente in het Franse departement Gard (regio Occitanie) en telt 11.791 inwoners
Een muxe (uitspr: moesje) is, in de cultuur van de Zapoteken rondom de Mexicaanse stad
Metacnephia sardoa is een muggensoort uit de familie van de kriebelmuggen (Simuliidae). De wetenschappelijke naam
Amygdalum is een geslacht van tweekleppigen uit de familie van de Mytilidae....
Opius caprilesi is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Blue Eye is een plaats (town) in de Amerikaanse staat Missouri, en valt bestuurlijk gezien
Calamuchita is een departement in de Argentijnse provincie Córdoba. Het departement (Spaans: departamento) heeft een
Wustermark is een gemeente in de Duitse deelstaat Brandenburg, en maakt deel uit van het
Het wereldkampioenschap veldrijden 1958 werd gehouden op 23 februari 1958 in Limoges, Frankrijk....
Stijgaanval (door volleyballers ook wel een kortje of een stijgje genoemd) is een volleybaltechniek die
Quileute kan verwijzen naar: Quileute (taal), een bedreigde indianentaal Quileute (volk), een Noord-Amerikaans indianenvolk Quillayute
Juan Bautista Gorordo (Barili, 18 april 1862 – 20 december 1934) was een rooms-katholiek geestelijke.
Abisares depressus is een rechtvleugelig insect uit de familie veldsprinkhanen (Acrididae). De wetenschappelijke naam van
Parafallia shanensis is een keversoort uit de familie Discolomatidae. De wetenschappelijke naam van de soort
Mont-le-Vernois is een gemeente in het Franse departement Haute-Saône (regio Bourgogne-Franche-Comté) en telt 160 inwoners
De Kleine Rakisberg (Zweeds Pikku Rakisvaara; Samisch: Rágesváras) is een berg binnen de Zweedse gemeente
Deze tabellen bevatten alle bekende isotopen van de chemische elementen, geordend op oplopend atoomnummer (Z,
DTC kan verwijzen naar: DTC '07, een Nederlandse voetbalvereniging uit Lattrop-Breklenkamp Hijken DTC, een Nederlandse
Haeckelia filigera is een soort in de taxonomische indeling van de ribkwallen (Ctenophora). De kwal
Battalia lagaroptycha is een vlinder uit de familie van de bladrollers (Tortricidae). De wetenschappelijke naam
Haplopus mayeri is een insect uit de orde Phasmatodea en de familie Phasmatidae. De wetenschappelijke
Eokingdonella cyanecula is een rechtvleugelig insect uit de familie Dericorythidae. De wetenschappelijke naam van deze
Vledderhuizen is een gehucht in de gemeente Stadskanaal in de provincie Groningen. Het is een
Ptyophis paulseni is een keversoort uit de familie bladsprietkevers (Scarabaeidae). De wetenschappelijke naam van de
Courgenard is een gemeente in het Franse departement Sarthe (regio Pays de la Loire) en
Belle-Anse (Haïtiaans Creools: Bèlans, ook Saltrou genoemd) is een stad en gemeente in Haïti met
Laccophilus pseudanticatus is een keversoort uit de familie waterroofkevers (Dytiscidae). De wetenschappelijke naam van de
Harminius triundulatus is een keversoort uit de familie kniptorren (Elateridae). De wetenschappelijke naam van de
Gnorimoschema collinusella is een vlinder uit de familie van de tastermotten (Gelechiidae). De wetenschappelijke naam
De Vergaderzaal van de Tweede Kamer is de grote plenaire vergaderzaal gevestigd op de eerste
Bernlef kan verwijzen naar: De oud-Friese dichter Bernlef (8e eeuw) Het pseudoniem J. Bernlef van
Lysiphlebus shaanxiensis is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Wout Brama (Almelo, 21 augustus 1986) is een Nederlands voetballer die doorgaans als middenvelder speelt.
... en sterven is het tiende album uit de stripreeks Largo Winch, waarin de jonge
Nacht is het tegenovergestelde van dag. Afhankelijk van de context kan het de periode van
Selenops juxtlahuaca is een spinnensoort in de taxonomische indeling van de Selenopidae.Het dier komt voor
Ancylolomia ochidea is een vlinder uit de familie van de grasmotten (Crambidae). De wetenschappelijke naam
Appomattox is een olieveld onder de Golf van Mexico op het Amerikaanse continentale plat, 200
Ceroctis kabengana is een keversoort uit de familie van oliekevers (Meloidae). De wetenschappelijke naam van
Alright is de vierde single van de Amerikaanse r&b/pop-zangeres Janet Jackson, afkomstig van haar vierde
Hydrodessus surinamensis is een keversoort uit de familie waterroofkevers (Dytiscidae). De wetenschappelijke naam van de
Quetteville is een gemeente in het Franse departement Calvados (regio Normandië) en telt 360 inwoners
Gwijde van Luxemburg-Ligny (circa 1340 - Baesweiler, 23 augustus 1371) was van 1360 tot aan
Phyllobrostis jedmella is een vlinder uit de familie sneeuwmotten (Lyonetiidae). De wetenschappelijke naam is voor
Izabelin C is een dorp in het Poolse woiwodschap Mazovië, in het district Warszawski zachodni.
Guy Gavriel Kay (Weyburn (Saskatchewan), 7 november 1954) is een Canadese fantasyschrijver. Kay groeide op
Vindinge is een parochie van de Deense Volkskerk in de Deense gemeente Roskilde. De parochie
De gemeente Olszanica is een landgemeente in het Poolse woiwodschap Subkarpaten, in powiat Leski. De
Cydia larimana is een vlinder uit de familie van de bladrollers (Tortricidae). De wetenschappelijke naam
De lange mars is het negentiende deel uit de stripreeks Blueberry van Jean-Michel Charlier (scenario)
Sitticus japonicus is een spinnensoort in de taxonomische indeling van de springspinnen (Salticidae).Het dier behoort
Gnophos zaprjagaevi is een vlinder uit de familie van de spanners (Geometridae). De wetenschappelijke naam
Bedfordia demorsa is een libellensoort uit de familie van de waterjuffers (Coenagrionidae), onderorde juffers (Zygoptera).De
In de micro-economie is een indifferentiecurve of isonutcurve (iso-nutscurve) een grafiek die verschillende combinaties van
Stenellipsis subunicolor is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Valence is een gemeente in het Franse departement Tarn-et-Garonne (regio Occitanie) en telt 4993 inwoners
"Shoenkele met hoare" is een single van De Marlets. Het werd uitgebracht in 1986....
Doryctinus costaricensis is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Saint-Chinian is een kanton van het Franse departement Hérault. Het kanton maakt deel uit van
De slag bij Montlhéry was een veldslag op 16 juli 1465 tussen de Fransen onder
C.M.A. (Clemens) Brocken (21 oktober 1948) is een Nederlands politicus van het CDA. Brocken was
Het Amt Bützow is een samenwerkingsverband van 12 gemeenten. Het ligt in het Landkreis Rostock
Lovell Augustus Reeve (1814 - 1865) was een Brits malacoloog. Naast zijn monumentaal werk Conchologia
Bruzelia ascua is een vlokreeftensoort uit de familie van de Synopiidae. De wetenschappelijke naam van
Cikuntul is een bestuurslaag in het regentschap Karawang van de provincie West-Java, Indonesië. Cikuntul telt
Mortons neuralgie is een zenuwbeknelling in de voet. Bij Mortons neuralgie raakt de zenuw meestal
Hestnes is een plaats in de Noorse gemeente Eigersund, provincie Rogaland. Hestnes telt 203 inwoners
Bremraap (Orobanche) is een geslacht van ongeveer honderdvijftig tot tweehonderd soorten eenjarige of overblijvende, parasitaire,
Jules Lullien (22 november 1883 - 5 augustus 1971) was een Franse zakenman. Hij was
Bathytoma belaeformis is een slakkensoort uit de familie van de Borsoniidae. De wetenschappelijke naam van
Bertrancourt is een gemeente in het Franse departement Somme (regio Hauts-de-France) en telt 224 inwoners
Hanssuesia sternbergi is een plantenetende ornitischische dinosauriër, behorend tot de Pachycephalosauria, die tijdens het late
Distenia fastuosa is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Vitreolina levantina is een slakkensoort uit de familie van de Eulimidae. De wetenschappelijke naam van
Hornos-eiland (Spaans: Isla Hornos) is een eiland in de regio Patagonië in het zuiden van
Vitali Petrovitsj Mesjkov (Russisch: Виталий Петрович Мешков; Novosinkovo, 18 februari 1983) is een Russisch voetbalscheidsrechter.
Palumbina longipalpis is een vlinder uit de familie van de tastermotten (Gelechiidae). De wetenschappelijke naam
Colaranea brunnea is een spinnensoort in de taxonomische indeling van de wielwebspinnen (Araneidae).Het dier behoort
De Ford Five Hundred was een grote sedan in het hogere middenklasse-segment die van 2005
Alaus plebejus is een keversoort uit de familie kniptorren (Elateridae). De wetenschappelijke naam van de
De Brigach is een van de twee bronnen van de Donau. Ze ontspringt in het
Penitella turnerae is een tweekleppigensoort uit de familie van de Pholadidae. De wetenschappelijke naam van
Karangreja is een bestuurslaag in het regentschap Bekasi van de provincie West-Java, Indonesië. Karangreja telt
Structurele geologie is de tak binnen de geologie die de ligging en vorm van gesteentelichamen
Athos is een fictief personage in de romans De drie musketiers, Twintig jaar later, en
Wim Vanseveren (Tielt, 23 januari 1956) is een Vlaams adviseur, ondernemer en voormalig televisieproducent. Hij
Johannes Baank (1933) is een Nederlands persoon die in de jaren zeventig als rechtsradicaal bekend
Moreno is een geslacht van spinnen uit de familie van de Prodidomidae....
Pseudotaphoxenus striatipennis is een keversoort uit de familie van de loopkevers (Carabidae). De wetenschappelijke naam
Scintilla solidula is een tweekleppigensoort uit de familie van de Galeommatidae. De wetenschappelijke naam van
Gertrud is een Deense dramafilm uit 1964 onder regie van Carl Theodor Dreyer. Het scenario
Luxemburg nam deel aan de Olympische Zomerspelen 1952 in Helsinki, Finland. Het was de zevende
Stanwood is een plaats (city) in de Amerikaanse staat Washington, en valt bestuurlijk gezien onder
Catherine De Clercq is een Belgische emeritus professor in de fysica aan de Vrije Universiteit
Eyprepocnemis reducta is een rechtvleugelig insect uit de familie veldsprinkhanen (Acrididae). De wetenschappelijke naam van
Koen Bouwman (Doetinchem, 2 december 1993) is een Nederlands wielrenner die anno 2019 rijdt voor
Holcopyge pallidicornis is een keversoort uit de familie snoerhalskevers (Anthicidae). De wetenschappelijke naam van de
Vasticardium thomassini is een tweekleppigensoort uit de familie van de Cardiidae. De wetenschappelijke naam van
Sebastian Falk (Järbo, 5 juni 1977) is een voormalig Zweeds schaatser. Tijdens het EK Allround
1001 Albums You Must Hear Before You Die (Nederlands: 1001 albums die je moet horen
Água Doce do Norte is een gemeente in de Braziliaanse deelstaat Espírito Santo. De gemeente
Parajassa tristanensis is een vlokreeftensoort uit de familie van de Ischyroceridae. De wetenschappelijke naam van
Hans Billekens (Venlo, 3 december 1959) is een voormalig Nederlands voetballer die tijdens zijn profloopbaan
Mystrocnemis stictica is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Pierre Barbotin (Nantes, 29 juni 1926 - aldaar, 19 februari 2009) was een Frans wielrenner.
Leudeville is een gemeente in het Franse departement Essonne (regio Île-de-France) en telt 1187 inwoners
Mysmenopsis cidrelicola is een spinnensoort in de taxonomische indeling van de Mysmenidae.Het dier behoort tot
Solenocera moosai is een tienpotigensoort uit de familie van de Solenoceridae. De wetenschappelijke naam van
Lood-203 of 203Pb is een onstabiele radioactieve isotoop van lood, een hoofdgroepmetaal. De isotoop komt
Cyprinodon alvarezi is een straalvinnige vissensoort uit de familie van de eierleggende tandkarpers (Cyprinodontidae). De
Barbapellis pterygalces is een straalvinnige vissensoort uit de familie van de puitalen (familie) (Zoarcidae). De
De 1. divisjon 2015 was het negentiende seizoen van de op-één-na hoogste voetbaldivisie in Noorwegen
Filz von Reiterdank is de naam van een Nederlands, oorspronkelijk uit het huidige Slovenië afkomstig,
Limnodriloides triplus is een ringworm uit de familie van de Tubificidae. De wetenschappelijke naam van
Ketapang is een bestuurslaag in het regentschap Tanggamus van de provincie Lampung, Indonesië. Ketapang telt
Pseudodendroides madurensis is een keversoort uit de familie vuurkevers (Pyrochroidae). De wetenschappelijke naam van de
Matlock is de hoofdstad van het Engelse graafschap Derbyshire. Matlock telt 9496 inwoners....
Perbaji is een bestuurslaag in het regentschap Karo van de provincie Noord-Sumatra, Indonesië. Perbaji telt
Granulifusus babae is een slakkensoort uit de familie van de Fasciolariidae. De wetenschappelijke naam van
Crypsis is de artiestennaam van de Pools-Nederlandse hardstyle-dj en producer Grzegorz Łużyński. Na ontdekt te
Tenebroides helophorus is een keversoort uit de familie platkevers (Trogossitidae). De wetenschappelijke naam van de
Michele Ann en Jennifer Marie Steffin werden geboren op 23 maart 1981 in West Covina,
Chocenice (Duits: Kotzenitz) is een Tsjechische gemeente in de regio Pilsen, en maakt deel uit
De rode klont (Engels: red clump) is een samenklontering van rode reuzensterren in het kleur-magnitude-diagram
Closia princeps is een slakkensoort uit de familie van de Marginellidae. De wetenschappelijke naam van
Reginald Evelyn Peter Southouse Cheyney, beter bekend als Peter Cheyney, (Londen, 22 februari 1896 –
N214 kan verwijzen naar: Een verkeersweg: N214 (België) N214 (Nederland), zie Provinciale weg 214 N214
Rancate is een plaats en voormalige gemeente in het Zwitserse kanton Ticino, en maakt deel
Natasja, luchtstewardess is de Nederlandstalige titel van het eerste stripverhaal van Natasja. De reeks wordt
A Blur of Time is het tweede en laatste muziekalbum van de Amerikaanse band Vanderhoof,
Gitanopsis kupe is een vlokreeftensoort uit de familie van de Amphilochidae. De wetenschappelijke naam van
Lasius bureni is een mierensoort uit de onderfamilie van de schubmieren (Formicinae). De wetenschappelijke naam
Siegfried Lenz (Lyck, Oost-Pruisen, 17 maart 1926 – Hamburg, 7 oktober 2014) was een Duitse
BVA bond van adverteerders is een Nederlandse belangenvereniging van het adverterend bedrijfsleven. De vereniging heeft
De Eerste Kamerverkiezingen 1955 waren reguliere Nederlandse verkiezingen voor de Eerste Kamer der Staten-Generaal. Zij
Matthias Bouman (Amsterdam, 1955) is een Nederlands televisieregisseur....
Amphiophiura is een geslacht van slangsterren uit de familie Ophiuridae....
Ancol kan verwijzen naar: Plaats in IndonesiëAncol (Jatiwaras), een plaats in het regentschap Tasikmalaya in
Kimmo Tarkkio (Helsinki, 15 januari 1966) is een voormalig profvoetballer uit Finland, die speelde als
Van de meer dan 40 hofjes die Haarlem ooit telde, zijn er nog ruim 20
Amphoropsyche ayura is een schietmot uit de familie Leptoceridae. De soort komt voor in het
Plectreurys globosa is een spinnensoort uit de familie Plectreuridae. De soort komt voor in Cuba....
Born Lucky is een Britse muziekfilm uit 1933 onder regie van Michael Powell. De film
Horithyatira delattini is een vlinder uit de familie van de eenstaartjes (Drepanidae). De wetenschappelijke naam
Complexum miniatum is een zacht koraal uit de familie Alcyoniidae. De wetenschappelijke naam werd in
Saletto is een gemeente in de Italiaanse provincie Padua (regio Veneto) en telt 2659 inwoners
Det bästa av allt (vertaling: Het beste van alles) is een lied gecomponeerd door Johan
Nederland nam deel aan de Olympische Zomerspelen 1988 in Seoel, Zuid-Korea....
Oemopteryx glacialis is een steenvlieg uit de familie vroege steenvliegen (Taeniopterygidae). De wetenschappelijke naam van
De Town Hall Party was een Amerikaans countryprogramma dat werd uitgezonden door KXLA en KTTV
Het metrostation Fives is een station van metrolijn 1 van de metro van Rijsel, gelegen
Johns kan verwijzen naar: AardrijkskundeNorth Johns, plaats in de Amerikaanse staat AlabamaPersonen met de achternaam
Köpstadsö is een plaats en eiland in de gemeente Göteborg in het landschap Västergötland en
Neoelmis alcine is een keversoort uit de familie echte beekkevers (Elmidae). De wetenschappelijke naam van
Brugine is een gemeente in de Italiaanse provincie Padua (regio Veneto) en telt 6579 inwoners
Een bakermat is een langwerpige, lage mand of houten bak waarin een baby verzorgd werd.
Colomastix irciniae is een vlokreeftensoort uit de familie van de Colomastigidae. De wetenschappelijke naam van
De Geboorte van Venus is een schilderij van de Italiaanse kunstschilder Sandro Botticelli. Het hangt
Brachinus papua is een keversoort uit de familie van de loopkevers (Carabidae). De wetenschappelijke naam
De Poolse kampioenschappen veldrijden zijn een jaarlijks terugkerende wedstrijd om te bepalen welke veldrijder er
Kebonharjo is een bestuurslaag in het regentschap Kendal van de provincie Midden-Java, Indonesië. Kebonharjo telt
Oxymagis grandis is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Myriangiales is een orde van Dothideomycetes uit de subklasse Dothideomycetidae. Tot deze orde behoren membraanachtige
Wesley Sulzberger (Beaconsfield, 20 oktober 1986) is een Australisch wielrenner, afkomstig van Tasmanië. Sulzberger rijdt
Ceratinops crenatus is een spinnensoort in de taxonomische indeling van de hangmatspinnen (Linyphiidae).Het dier behoort
Eugène Willem Eduard Rellum (Paramaribo, 10 februari 1896 - Amsterdam, 29 juli 1989) was een
Maisach is een gemeente in de Duitse deelstaat Beieren, en maakt deel uit van het
Airora modesta is een keversoort uit de familie platkevers (Trogossitidae). De wetenschappelijke naam van de
Neivamyrmex digitistipus is een mierensoort uit de onderfamilie van de Ecitoninae. De wetenschappelijke naam van
Saint-Martin-du-Fouilloux is de naam van een aantal (voormalige) Franse gemeenten: Saint-Martin-du-Fouilloux (Maine-et-Loire) Saint-Martin-du-Fouilloux (Deux-Sèvres)...
Yelicones vespapulcher is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Trichoniscus apenninicus is een pissebed uit de familie Trichoniscidae. De wetenschappelijke naam van de soort
Het Wapen van Grimbergen is het heraldisch wapen van de Belgische gemeente Grimbergen. Dit wapen
